Fecha,Hora,AGU,ATM,CEN,LDO,MIR,OBL,TLA,VAL
2001-01-04,03,19.000000,29.000000,37.000000,22.000000,34.000000,17.000000,44.000000,18.000000
2001-01-04,04,18.000000,29.000000,39.000000,23.000000,34.000000,18.000000,42.000000,14.000000
2001-01-04,05,19.000000,30.000000,40.000000,23.000000,34.000000,21.000000,43.000000,17.000000
2001-01-04,06,18.000000,31.000000,44.000000,23.000000,35.000000,24.000000,46.000000,17.000000
2001-01-04,07,18.000000,31.000000,48.000000,23.000000,29.000000,23.000000,38.000000,19.000000
2001-01-04,08,18.000000,31.000000,51.000000,23.000000,29.000000,24.000000,36.000000,23.000000
2001-01-04,09,18.000000,15.000000,39.000000,23.000000,33.000000,19.000000,40.000000,22.000000
2001-01-04,10,20.000000,21.000000,31.000000,23.000000,30.000000,16.000000,41.000000,18.000000
2001-01-04,11,18.000000,21.000000,30.000000,,34.000000,17.000000,49.000000,16.000000
2001-01-04,12,19.000000,24.000000,40.000000,53.000000,34.000000,16.000000,38.000000,16.000000
2001-01-04,13,19.000000,20.000000,32.000000,101.000000,34.000000,15.000000,41.000000,13.000000
2001-01-04,14,19.000000,19.000000,30.000000,132.000000,31.000000,16.000000,43.000000,14.000000
2001-01-04,15,19.000000,19.000000,34.000000,138.000000,30.000000,16.000000,39.000000,12.000000
2001-01-04,16,20.000000,18.000000,36.000000,94.000000,28.000000,15.000000,48.000000,10.000000
2001-01-04,17,20.000000,24.000000,36.000000,80.000000,33.000000,17.000000,43.000000,10.000000
2001-01-04,18,17.000000,42.000000,44.000000,104.000000,46.000000,26.000000,50.000000,23.000000
2001-01-04,19,18.000000,100.000000,42.000000,122.000000,44.000000,32.000000,51.000000,27.000000
2001-01-04,20,18.000000,28.000000,41.000000,122.000000,43.000000,31.000000,46.000000,27.000000
2001-01-04,21,19.000000,38.000000,40.000000,125.000000,42.000000,29.000000,43.000000,27.000000
2001-01-04,22,17.000000,33.000000,36.000000,133.000000,41.000000,31.000000,58.000000,25.000000
2001-01-04,23,20.000000,35.000000,36.000000,127.000000,38.000000,28.000000,51.000000,25.000000
2001-01-05,00,18.000000,33.000000,38.000000,90.000000,38.000000,29.000000,49.000000,24.000000
2001-01-05,01,18.000000,23.000000,41.000000,78.000000,34.000000,28.000000,48.000000,24.000000
2001-01-05,02,18.000000,31.000000,37.000000,81.000000,40.000000,26.000000,42.000000,23.000000
2001-01-05,03,18.000000,30.000000,46.000000,89.000000,43.000000,22.000000,45.000000,21.000000
2001-01-05,04,18.000000,27.000000,53.000000,92.000000,39.000000,23.000000,45.000000,21.000000
2001-01-05,05,19.000000,29.000000,55.000000,89.000000,30.000000,26.000000,50.000000,22.000000
2001-01-05,06,20.000000,26.000000,53.000000,102.000000,34.000000,26.000000,41.000000,21.000000
2001-01-05,07,20.000000,24.000000,53.000000,117.000000,33.000000,26.000000,38.000000,28.000000
2001-01-05,08,19.000000,31.000000,55.000000,122.000000,38.000000,27.000000,52.000000,34.000000
2001-01-05,09,20.000000,57.000000,54.000000,128.000000,70.000000,26.000000,61.000000,37.000000
2001-01-05,10,18.000000,70.000000,49.000000,114.000000,67.000000,24.000000,74.000000,45.000000
2001-01-05,11,18.000000,48.000000,56.000000,100.000000,79.000000,26.000000,59.000000,33.000000
2001-01-05,12,20.000000,37.000000,52.000000,100.000000,77.000000,20.000000,52.000000,23.000000
2001-01-05,13,18.000000,26.000000,45.000000,114.000000,45.000000,18.000000,64.000000,17.000000
2001-01-05,14,21.000000,21.000000,38.000000,50.000000,34.000000,14.000000,43.000000,12.000000
2001-01-05,15,19.000000,12.000000,36.000000,51.000000,34.000000,14.000000,38.000000,9.000000
2001-01-05,16,17.000000,9.000000,37.000000,48.000000,28.000000,14.000000,38.000000,9.000000
2001-01-05,17,20.000000,6.000000,37.000000,50.000000,34.000000,14.000000,42.000000,12.000000
2001-01-05,18,20.000000,22.000000,56.000000,62.000000,42.000000,22.000000,50.000000,20.000000
2001-01-05,19,19.000000,44.000000,66.000000,68.000000,42.000000,34.000000,52.000000,26.000000
2001-01-05,20,18.000000,62.000000,62.000000,71.000000,43.000000,34.000000,52.000000,25.000000
2001-01-05,21,18.000000,9.000000,58.000000,71.000000,43.000000,32.000000,53.000000,19.000000
2001-01-05,22,18.000000,21.000000,57.000000,68.000000,40.000000,24.000000,50.000000,16.000000
2001-01-05,23,18.000000,35.000000,51.000000,64.000000,38.000000,26.000000,44.000000,19.000000
2001-01-06,00,18.000000,37.000000,46.000000,66.000000,36.000000,26.000000,47.000000,13.000000
2001-01-06,01,17.000000,34.000000,44.000000,64.000000,36.000000,26.000000,40.000000,18.000000
2001-01-06,02,16.000000,31.000000,41.000000,64.000000,34.000000,21.000000,42.000000,22.000000
2001-01-06,03,18.000000,29.000000,45.000000,64.000000,37.000000,20.000000,38.000000,15.000000
2001-01-06,04,19.000000,30.000000,48.000000,65.000000,34.000000,26.000000,45.000000,20.000000
2001-01-06,05,18.000000,28.000000,54.000000,64.000000,32.000000,25.000000,51.000000,15.000000
2001-01-06,06,18.000000,28.000000,50.000000,64.000000,34.000000,25.000000,46.000000,20.000000
2001-01-06,07,17.000000,28.000000,48.000000,63.000000,33.000000,21.000000,43.000000,21.000000
2001-01-06,08,18.000000,35.000000,57.000000,65.000000,41.000000,26.000000,45.000000,27.000000
2001-01-06,09,19.000000,70.000000,64.000000,62.000000,54.000000,25.000000,47.000000,45.000000
2001-01-06,10,19.000000,57.000000,46.000000,60.000000,60.000000,22.000000,50.000000,29.000000
2001-01-06,11,19.000000,31.000000,44.000000,58.000000,41.000000,20.000000,44.000000,23.000000
2001-01-06,12,18.000000,29.000000,46.000000,65.000000,36.000000,20.000000,51.000000,20.000000
2001-01-06,13,18.000000,33.000000,43.000000,57.000000,33.000000,20.000000,45.000000,24.000000
2001-01-06,14,18.000000,32.000000,39.000000,56.000000,32.000000,21.000000,45.000000,18.000000
2001-01-06,15,19.000000,31.000000,38.000000,60.000000,35.000000,23.000000,48.000000,16.000000
2001-01-06,16,17.000000,31.000000,35.000000,74.000000,35.000000,22.000000,55.000000,14.000000
2001-01-06,17,19.000000,24.000000,36.000000,78.000000,45.000000,20.000000,59.000000,11.000000
2001-01-06,18,19.000000,37.000000,40.000000,81.000000,47.000000,22.000000,52.000000,16.000000
2001-01-06,19,19.000000,49.000000,53.000000,80.000000,66.000000,37.000000,55.000000,26.000000
2001-01-06,20,19.000000,36.000000,38.000000,72.000000,53.000000,31.000000,50.000000,21.000000
2001-01-06,21,19.000000,33.000000,34.000000,64.000000,44.000000,24.000000,45.000000,14.000000
2001-01-06,22,19.000000,31.000000,36.000000,63.000000,37.000000,26.000000,46.000000,11.000000
2001-01-06,23,19.000000,33.000000,36.000000,64.000000,41.000000,26.000000,47.000000,20.000000
2001-01-07,00,19.000000,33.000000,34.000000,67.000000,37.000000,25.000000,38.000000,20.000000
2001-01-07,01,18.000000,32.000000,31.000000,65.000000,38.000000,26.000000,37.000000,24.000000
2001-01-07,02,18.000000,27.000000,30.000000,64.000000,36.000000,26.000000,41.000000,23.000000
2001-01-07,03,18.000000,29.000000,30.000000,64.000000,40.000000,24.000000,41.000000,23.000000
2001-01-07,04,19.000000,28.000000,29.000000,55.000000,39.000000,23.000000,42.000000,22.000000
2001-01-07,05,19.000000,25.000000,31.000000,53.000000,37.000000,24.000000,41.000000,21.000000
2001-01-07,06,18.000000,25.000000,30.000000,60.000000,36.000000,24.000000,45.000000,20.000000
2001-01-07,07,18.000000,28.000000,32.000000,61.000000,33.000000,25.000000,41.000000,21.000000
2001-01-07,08,19.000000,32.000000,40.000000,61.000000,37.000000,27.000000,50.000000,29.000000
2001-01-07,09,18.000000,66.000000,50.000000,61.000000,41.000000,26.000000,67.000000,49.000000
2001-01-07,10,18.000000,58.000000,39.000000,52.000000,43.000000,23.000000,49.000000,38.000000
